artist,title,album,decade,year,date,lyric
Florence + The Machine,Cosmic Love,Lungs,00s,2009,2009-07-03,a falling star fell from your heart and landed in my eyes i screamed aloud as it tore through them and now it's left me blind   the stars the moon they have all been blown out you left me in the dark no dawn no day i'm always in this twilight in the shadow of your heart   and in the dark i can hear your heartbeat i tried to find the sound but then it stopped till i was in the darkness so darkness i became   the stars the moon they have all been blown out you left me in the dark no dawn no day i'm always in this twilight in the shadow of your heart   i took the stars from our eyes and then i made a map and knew that somehow i could find my way back then i heard your heart beating you were in the darkness too so i stayed in the darkness with you   the stars the moon they have all been blown out you left me in the dark no dawn no day i'm always in this twilight in the shadow of your heart   the stars the moon they have all been blown out you left me in the dark no dawn no day i'm always in this twilight in the shadow of your heart
Florence + The Machine,What Kind Of Man,"How Big, How Blue, How Beautiful",10s,2015,2015-02-12,i was on a heavy tip trying to cross a canyon with a broken limb you were on the other side like always wondering what to do with life   i'd already had a sip so i'd reasoned i was drunk enough to deal with it you were on the other side like always you could never make your mind  pre and with one kiss you inspired a fire of devotion that lasts for twenty years what kind of man loves like this   to let me dangle at a cruel angle oh my feet don't touch the floor sometimes you're half in and then you're half out but you never close the door   what kind of man loves like this what kind of man what kind of man loves like this what kind of man  4 you're a holy fool all coloured blue red feet upon the floor you do such damage how do you manage to have me crawling back for more  pre and with one kiss and with one kiss you inspired a fire of devotion that lasts for twenty years for twenty years what kind of man loves like this   what kind of man loves like this what kind of man what kind of man loves like this what kind of man  5 but i can't beat ya 'cause i'm still with ya oh mercy i implore oh mercy i implore how do you do it i think i'm through it then i'm back against the wall back back back against the wall   what kind of man loves like this what kind of man what kind of man loves like this what kind of man back back back against the wall   what kind of man loves like this what kind of man what kind of man loves like this what kind of man
Florence + The Machine,Ship to Wreck,"How Big, How Blue, How Beautiful",10s,2015,2015-04-08,don't touch the sleeping pills they mess with my head dredging up great white sharks swimming in the bed and here comes a killer whale to sing me to sleep thrashing the covers off has me by its teeth  pre and ah my love remind me what was it that i said i can't help but pull the earth around me to make my bed and ah my love remind me what was it that i did did i drink too much am i losing touch did i build a ship to wreck   to wreck to wreck to wreck did i build this ship to wreck   what's with the long face do you want more thousands of redeyed mice scratching at the door and don't let the curtain catch you cause you've been here before the chair is an island darling you can't touch the floor  pre and ah my love remind me what was it that i said i can't help but pull the earth around me to make my bed and ah my love remind me what was it that i did did i drink too much am i losing touch did i build a ship to wreck   to wreck to wreck to wreck did i build this ship to wreck   good god under starless skies we are lost and into the breach we got tossed and the water's coming in fast  pre and ah my love remind me what was it that i said i can't help but pull the earth around me to make my bed and ah my love remind me what was it that i did did i drink too much am i losing touch did i build a ship to wreck   to wreck to wreck to wreck did i build this ship to wreck to wreck to wreck to wreck did i build this ship to wreck
Florence + The Machine,The End of Love,High As Hope,10s,2018,2018-06-29,i feel nervous in a way that can't be named i dreamt last night of a sign that read the end of love and i remember thinking even in my dreaming it was a good line for a song  pre we were a family pulled from the flood you tore the floorboards up and let the river rush in not wash away wash away   we were reaching in the dark that summer in new york and it was so far to fall but it didn't hurt at all and let it wash away wash away   in a moment of joy and fury i threw myself from the balcony like my grandmother so many years before me i've always been in love with you could you tell it from the moment that i met you  pre we were a family pulled from the flood you tore the floorboards up and let the river rush in not wash away wash away   we were reaching in the dark wash away that summer in new york wash away and was it so far to fall wash away you said it didn't hurt at all and let it wash away wash away   and joshua came down from the mountain with a tablet in his hands told me that he loved me yeah and then ghosted me again   we were reaching in the dark that summer in new york and it was so far to fall but it didn't hurt at all i let it wash away wash away   reaching in the dark wash away that summer in new york wash away and was it so far to fall wash away you said it didn't hurt at all and let it wash away wash away
Florence + The Machine,Queen Of Peace,"How Big, How Blue, How Beautiful",10s,2015,2015-05-29,oh the king gone mad within his suffering called out for release someone cure him of his grief  his only son cut down but the battle won oh what is it worth when all that's left is hurt  pre like the stars chase the sun over the glowing hill i will conquer blood is running deep some things never sleep   suddenly i'm overcome dissolving like the setting sun like a boat into oblivion 'cause you're driving me away now you have me on the run the damage is already done come on is this what you want 'cause you're driving me away   oh the queen of peace always does her best to please but is it any use somebody's gotta lose  like a long scream out there always echoing oh what is it worth all that's left is hurt  pre like the stars chase the sun over the glowing hill i will conquer blood is running deep some things never sleep   suddenly i'm overcome dissolving like the setting sun like a boat into oblivion 'cause you're driving me away now you have me on the run the damage is already done come on is this what you want 'cause you're driving me away   and my love is no good against the fortress that it made of you blood is running deep sorrow that you keep   suddenly i'm overcome dissolving like the setting sun like a boat into oblivion 'cause you're driving me away now you have me on the run the damage is already done come on is this what you want 'cause you're driving me away  spoken word  music video only to give yourself over to another body that's all you want really to be out of your own and consumed by another to swim inside the skin of your lover not to have to breathe not to have to think but you can't live on love salt water's no drink
Florence + The Machine,Seven Devils,Ceremonials,10s,2011,2011-10-28,holy water cannot help you now thousand armies couldn't keep me out i don't want your money i don't want your crown see i've come to burn your kingdom down  pre holy water cannot help you now see i've come to burn your kingdom down and no rivers and no lakes can put the fire out i'm gonna raise the stakes i'm gonna smoke you out   seven devils all around you seven devils in my house see they were there when i woke up this morning i'll be dead before the day is done seven devils all around you seven devils in your house see i was dead when i woke up this morning and i'll be dead before the day is done before the day is done   and now all your love will be exorcized and we will find new saints to be canonized and it's an evensong it's a litany it's a battle cry it's a symphony   seven devils all around you seven devils in my house see they were there when i woke up this morning i'll be dead before the day is done seven devils all around you seven devils in your house see i was dead when i woke up this morning and i'll be dead before the day is done   before the day is done before the day is done before the day is done  breakdown you can't keep it out it's coming through the walls to devastate your heart and to take your soul for what has been done cannot be undone in the eagle's eye in the evensong   seven devils all around you seven devils in your house see i was dead when i woke up this morning i'll be dead before the day is done before the day is done
Florence + The Machine,100 Years,High As Hope,10s,2018,2018-06-29,i believe in you and in our hearts we know the truth and i believe in love and the darker it gets the more i do try and fill us with your hate and we will shine a light and the days will become endless and never and never turn to night and never and never turn to night   then it's just too much i cannot get you close enough a hundred arms a hundred years you can always find me here and lord don't let me break this let me hold it lightly give me arms to pray with instead of ones that hold too tightly   we have no need to fight we raise our voices and let our hearts take flight get higher than those planes can fly where the stars do not take sides   then it's just too much i cannot get you close enough a hundred arms a hundred years you can always find me here and lord don't let me break this let me hold it lightly give me arms to pray with instead of ones that hold too tightly   and then it's just too much the streets they still run with blood a hundred arms a hundred years you can always find me here and lord don't let me break this let me hold it lightly give me arms to pray with instead of ones that hold too tightly   i let him sleep and as he does my held breath fills the room with love hurts in ways i can't describe my heart bends and breaks so many many times and is born again with each sunrise and is born again with each sunrise  interlude funerals were held all over the city the youth bleed in the square and women raged as old men fumbled and cried we're sorry we thought you didn't care oh and how does it feel now you've scratched that itch how does it feel and pulled out all your stitches hubris is a bitch a hundred arms a hundred years a hundred arms a hundred years   and then it's just too much the streets they still run with blood a hundred arms a hundred years you can always find me here and lord don't let me break this let me hold it lightly give me arms to pray with instead of ones that hold too tightly yeah
Florence + The Machine,June,High As Hope,10s,2018,2018-06-29,the show was ending and i had started to crack woke up in chicago when the sky turned black and you're so high you're so high you have to be an angel and i'm so high i'm so high i can see an angel  pre i hear your heart beating in your chest the world slows till there's nothing left skyscrapers look on like great unblinking giants in those heavy days in june when love became an act of defiance   hold on to each other hold on to each other hold on to each other hold on to each other   and you were brokenhearted and the world was too and i was beginning to lose my grip and i have always held it loosely but this time i admit i felt it really start to slip and choirs sing in the street and i would come to you to watch the television screen in your hotel room i'm always down to hide with you   hold on to each other hold on to each other hold on to each other hold on to each other   you're so high you're so high you're so high you're so high you're so high you're so high you have to be an angel and i'm so high i'm so high i'm so high i'm so high i'm so high i'm so high i can see an angel
Florence + The Machine,"How Big, How Blue, How Beautiful","How Big, How Blue, How Beautiful",10s,2015,2015-02-10,between a crucifix and the hollywood sign we decided to get hurt now theres a few things we have to burn set our hearts ablaze and every city was a gift and every skyline was like a kiss upon the lips and i was making you a wish in every skyline   how big how blue how beautiful how big how blue how beautiful   and meanwhile a man was falling from space and every day i wore your face like an atmosphere around me the satellite beside me and meanwhile a man was falling from space as he hit the earth i left this place let the atmosphere surround me the satellite beside me  pre what are we gonna do we've opened the door now it's all coming through tell me you see it too we opened our eyes and it's changing the view oh what are we gonna do we opened the door now it's all coming through   how big how blue how beautiful how big how blue how beautiful   and every city was a gift and every skyline was like a kiss upon the lips and i was making you a wish in every skyline and meanwhile a man was falling from space and every day i wore your face like an atmosphere around me i'm happy you're beside me  pre what are we gonna do we've opened the door now it's all coming through tell me you see it too we opened our eyes and it's changing the view oh what are we gonna do we opened the door now it's all coming through   how big how blue how beautiful how big how blue how beautiful how big how blue how   so much time on the other side waiting for you to wake up so much time on the other side waiting for you to wake up maybe i'll see you in another life if this one wasn't enough so much time on the other side   how big how blue how beautiful how big how blue how
Florence + The Machine,Grace,High As Hope,10s,2018,2018-06-29,i'm sorry i ruined your birthday i guess i could go back to university try and make my mother proud stop this phase i'm in she deems dangerous  and loud the spelling is a problem as is the discipline and i don't think it would be too long before i was drunk in camberwell again  pre this is the only thing i've ever had any faith in   grace i know you carry us grace and it was such a mess grace i don't say it enough grace you are so loved   i'm sorry i ruined your birthday you had turned 8 and the sunshine hit me and i was behaving strangely all the walls were melting and there were mermaids everywhere hearts flew from my hands and i could see people's feelings  pre this is the only thing i've ever had any faith in   grace i know you carry us grace and it was such a mess grace i don't say it enough grace you are so loved   and you you were the one i treated the worst only because you loved me the most we haven't spoken in a long time i think about it sometimes i don't know who i was back then and i hope on hope hope on hope i would never treat anyone like that again  pre this is the only thing i've ever had any faith in   grace i know you carry us grace and it was such a mess grace i don't say it enough grace you are so loved   grace i know you carry us grace and it was such a fucking mess grace i don't say it enough grace you are so loved   this is the only thing i've ever had any faith in tell me what i can do i will make it up to you this is the only thing i've ever had any faith in tell me what i can do i will make it up to you this is the only thing i've ever had any faith in this is the only thing i've ever had any faith in
